Sb-123(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
236.480 13.6766
236.511 9.79878
236.541 7.78543
236.572 6.63998
236.603 5.93542
236.633 5.47424
236.695 4.93011
236.756 4.63455
236.818 4.45737
236.940 4.26486
237.186 4.11510
237.432 4.06468
237.923 4.06242
238.415 4.16696
238.660 4.28997
238.906 4.50799
239.152 4.90932
239.397 5.70552
239.520 6.40639
239.643 7.49676
239.766 9.29759
239.889 12.5140
240.012 18.9751
240.073 24.8683
240.135 34.4979
240.196 51.6267
240.227 65.4875
240.257 85.6539
240.288 116.227
240.319 164.759
240.350 245.296
240.380 381.173
240.415 619.142
240.450 787.714
240.485 643.220
240.520 411.291
240.547 287.148
240.574 206.779
240.601 154.590
240.627 119.666
240.681 78.1122
240.735 55.6354
240.789 42.1670
240.842 33.5073
240.950 23.3793
241.057 17.8921
241.165 14.5710
241.272 12.3981
241.380 10.8919
241.595 8.98131
241.810 7.84848
242.025 7.11411
242.240 6.60650
242.670 5.96095
243.100 5.57438
243.530 5.32035
243.960 5.14206
244.820 4.91007
245.680 4.76660
246.540 4.66928
247.400 4.59884
249.120 4.50311
250.840 4.44023
252.560 4.39494
254.280 4.36007
257.720 4.30812
261.160 4.26905
268.040 4.20708
274.920 4.14985
278.360 4.11853
281.800 4.08246
285.240 4.03782
286.960 4.01022
288.680 3.97723
290.400 3.93652
292.120 3.88493
292.980 3.85488
293.840 3.82779
294.270 3.82637
294.485 3.83782
294.700 3.87149
294.915 3.96381
295.023 4.06517
295.130 4.25599
295.238 4.65879
295.292 5.04157
295.345 5.68784
295.399 6.89063
295.426 7.90817
295.453 9.44282
295.480 11.9026
295.507 16.0948
295.534 23.7593
295.560 38.2998
295.585 60.2450
295.610 75.9178
295.635 62.7573
295.660 41.4401
295.687 26.3086
295.715 18.2184
295.742 13.7112
295.770 11.0211
295.798 9.29416
295.825 8.12884
295.880 6.70752
295.935 5.90343
295.991 5.40508
296.101 4.84076
296.211 4.54371
296.321 4.36781
296.542 4.18129
296.983 4.07142
297.424 4.15448
297.645 4.29140
297.866 4.54686
298.086 5.02556
298.307 5.97827
298.417 6.81425
298.527 8.11037
298.638 10.2356
298.748 13.9990
298.858 21.4427
298.914 28.1413
298.969 38.8947
299.024 57.5815
299.051 72.3828
299.079 93.3670
299.107 124.389
299.134 171.835
299.162 246.826
299.189 365.676
299.225 595.619
299.260 759.693
299.295 621.255
299.331 397.716
299.354 291.320
299.378 218.112
299.425 132.882
299.472 89.2470
299.520 64.5448
299.567 49.3415
299.614 39.3506
299.708 27.4550
299.803 20.8950
299.897 16.8800
300.086 12.3900
