Si-29(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.78531E+06 2.19082
1.78564E+06 2.10045
1.78597E+06 2.01384
1.78630E+06 1.86848
1.78663E+06 1.81670
1.78695E+06 1.80360
1.78728E+06 1.70700
1.78761E+06 1.77230
1.78794E+06 1.70342
1.78860E+06 1.72619
1.78958E+06 1.68173
1.79057E+06 1.72116
1.79156E+06 1.72056
1.79255E+06 1.70420
1.79354E+06 1.75481
1.79453E+06 1.75656
1.79552E+06 1.79983
1.79651E+06 1.79606
1.79751E+06 1.81174
1.79850E+06 1.80262
1.79950E+06 1.82306
1.80049E+06 1.86264
1.80149E+06 1.85583
1.80215E+06 1.87033
1.80249E+06 1.92809
1.80282E+06 2.00024
1.80315E+06 1.97180
1.80348E+06 2.05836
1.80382E+06 2.27029
1.80415E+06 2.15482
1.80448E+06 2.43380
1.80482E+06 2.66023
1.80515E+06 2.88539
1.80548E+06 3.31726
1.80582E+06 3.36251
1.80615E+06 3.09213
1.80648E+06 2.78731
1.80682E+06 2.59907
1.80715E+06 2.22732
1.80748E+06 1.96055
1.80782E+06 1.94176
1.80815E+06 1.86404
1.80849E+06 1.64794
1.80932E+06 1.77615
1.81066E+06 1.81008
1.81200E+06 1.84460
1.81334E+06 1.85869
1.81469E+06 1.86536
1.81603E+06 1.93070
1.81738E+06 1.96120
1.81872E+06 2.09208
1.82007E+06 2.13747
1.82142E+06 2.23391
1.82278E+06 2.32989
1.82413E+06 2.47029
1.82548E+06 2.50959
1.82701E+06 2.62594
1.82871E+06 2.82690
1.83041E+06 3.05028
1.83211E+06 3.29772
1.83382E+06 3.58214
1.83518E+06 3.84331
1.83621E+06 3.99655
1.83724E+06 4.26509
1.83826E+06 4.61739
1.83929E+06 4.92826
1.84032E+06 5.27373
1.84135E+06 5.63459
1.84238E+06 6.01932
1.84341E+06 6.45552
1.84444E+06 6.74216
1.84548E+06 6.98393
1.84651E+06 7.27919
1.84755E+06 7.35957
1.84858E+06 7.70012
1.84962E+06 7.85187
1.85066E+06 7.76918
1.85170E+06 7.82144
1.85274E+06 7.98371
1.85378E+06 8.21185
1.85482E+06 8.18179
1.85586E+06 7.91681
1.85690E+06 7.69503
1.85795E+06 7.43490
1.85899E+06 7.12113
1.86004E+06 7.08833
1.86108E+06 6.93606
1.86213E+06 6.75273
1.86353E+06 6.67513
1.86528E+06 6.37363
1.86703E+06 6.09954
1.86878E+06 5.78814
1.87054E+06 5.53838
1.87230E+06 5.32829
1.87406E+06 5.11365
1.87582E+06 4.88326
1.87759E+06 4.75150
1.87936E+06 4.53649
1.88113E+06 4.35873
1.88291E+06 4.11731
1.88468E+06 3.90673
1.88646E+06 3.74492
1.88824E+06 3.59067
1.89003E+06 3.31951
1.89182E+06 3.22995
1.89361E+06 3.04287
1.89540E+06 2.86792
1.89719E+06 2.69808
1.89899E+06 2.55024
1.90079E+06 2.42022
1.90223E+06 2.26920
