19-K_n-g
>   19-K-39:0.932690
>   19-K-41:0.067310
3.306750e+03 1.57329234e-02
3.320190e+03 8.46241209e-03
3.333620e+03 5.87120800e-03
3.357070e+03 4.22056963e-03
3.360500e+03 3.98148730e-03
3.387380e+03 3.30842116e-03
3.407460e+03 3.11897123e-03
3.441130e+03 2.80963289e-03
3.494890e+03 2.62113698e-03
3.508240e+03 2.60577880e-03
3.609020e+03 2.50028939e-03
3.709900e+03 2.40382331e-03
3.810590e+03 2.37771407e-03
3.860980e+03 2.37425301e-03
3.911370e+03 2.39104751e-03
3.936570e+03 2.42680607e-03
3.961760e+03 2.54071843e-03
3.974360e+03 2.70504784e-03
3.986960e+03 3.17613797e-03
3.993260e+03 3.83067321e-03
3.996410e+03 4.48281195e-03
3.999560e+03 5.66889300e-03
4.002710e+03 8.18258056e-03
4.004280e+03 1.06565570e-02
4.005860e+03 1.50956685e-02
4.006640e+03 1.87814053e-02
4.007430e+03 2.43137848e-02
4.008220e+03 3.31782051e-02
4.009000e+03 4.86947967e-02
4.009790e+03 7.96734727e-02
4.010190e+03 1.08220790e-01
4.010580e+03 1.55699686e-01
4.010970e+03 2.43660088e-01
4.011170e+03 3.18427824e-01
4.011370e+03 4.32235961e-01
4.011560e+03 6.18598762e-01
4.011760e+03 9.47579069e-01
4.011960e+03 1.58503717e+00
4.012060e+03 2.12321324e+00
4.012150e+03 2.89683926e+00
4.012310e+03 4.63956591e+00
4.012460e+03 5.79174265e+00
4.012620e+03 4.62826447e+00
4.012780e+03 2.89740443e+00
4.012900e+03 1.97886017e+00
4.013020e+03 1.39364788e+00
4.013140e+03 1.01876549e+00
4.013260e+03 7.72525725e-01
4.013500e+03 4.81856691e-01
4.013740e+03 3.27025043e-01
4.013980e+03 2.35885365e-01
4.014220e+03 1.78049939e-01
4.014700e+03 1.11839058e-01
4.015190e+03 7.69440923e-02
4.015670e+03 5.63748931e-02
4.016150e+03 4.32558201e-02
4.016630e+03 3.43846733e-02
4.017600e+03 2.35091950e-02
4.018560e+03 1.73524791e-02
4.020490e+03 1.10037083e-02
4.022420e+03 7.96438906e-03
4.024350e+03 6.27980220e-03
4.028200e+03 4.57340147e-03
4.032060e+03 3.76958884e-03
4.035910e+03 3.32808875e-03
4.043630e+03 2.88410988e-03
4.059050e+03 2.56142310e-03
4.074480e+03 2.44542714e-03
4.105330e+03 2.35816388e-03
4.136180e+03 2.32380080e-03
4.139940e+03 2.32238461e-03
4.259580e+03 2.29480567e-03
4.506390e+03 2.31948561e-03
4.629790e+03 2.36360940e-03
4.753190e+03 2.44470382e-03
4.876600e+03 2.59150796e-03
5.000000e+03 2.86855959e-03
5.059450e+03 3.09493580e-03
5.118900e+03 3.42422882e-03
5.178350e+03 3.92605723e-03
5.237800e+03 4.73965825e-03
5.297250e+03 6.17500733e-03
5.326980e+03 7.33568447e-03
5.356700e+03 9.02661676e-03
5.386430e+03 1.16018917e-02
5.416150e+03 1.57295357e-02
5.445880e+03 2.26932799e-02
5.475600e+03 3.47136799e-02
5.507100e+03 5.43700007e-02
5.538600e+03 6.78700929e-02
5.570100e+03 5.49886181e-02
5.601600e+03 3.50460008e-02
5.627130e+03 2.41037539e-02
5.652660e+03 1.72691595e-02
5.678180e+03 1.29697930e-02
5.703710e+03 1.01680697e-02
5.754770e+03 6.93332508e-03
5.805820e+03 5.24142513e-03
5.856880e+03 4.26334501e-03
5.907930e+03 3.67136919e-03
5.958990e+03 3.42745807e-03
5.971750e+03 3.52396591e-03
5.984520e+03 3.95316486e-03
5.990900e+03 4.61101740e-03
5.997280e+03 6.49683091e-03
6.000470e+03 9.06041811e-03
6.002070e+03 1.15540917e-02
6.003660e+03 1.59597036e-02
6.005260e+03 2.48715757e-02
6.006060e+03 3.32016662e-02
6.006850e+03 4.72944931e-02
6.007650e+03 7.40019297e-02
6.008050e+03 9.72756091e-02
6.008450e+03 1.33737985e-01
6.008850e+03 1.95551280e-01
6.009250e+03 3.10853713e-01
6.009450e+03 4.08656953e-01
6.009650e+03 5.54586754e-01
6.009850e+03 7.79726143e-01
6.010040e+03 1.12834415e+00
6.010310e+03 1.80511799e+00
6.010570e+03 2.25543448e+00
