Na-23(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.03540E+06 3.92987
1.03820E+06 3.88007
1.03930E+06 3.86065
1.04400E+06 3.83735
1.04900E+06 3.91892
1.05110E+06 3.95309
1.05610E+06 4.15535
1.05970E+06 4.39062
1.06220E+06 4.55398
1.06450E+06 4.65124
1.06630E+06 4.72729
1.06950E+06 4.76776
1.07280E+06 4.70435
1.07340E+06 4.69272
1.07840E+06 4.48458
1.08000E+06 4.40645
1.08290E+06 4.26513
1.08520E+06 4.10913
1.08660E+06 3.97619
1.08770E+06 4.06862
1.08830E+06 4.19991
1.08910E+06 4.37492
1.09000E+06 4.44421
1.09420E+06 4.28242
1.09840E+06 4.14374
1.10420E+06 3.96748
1.10800E+06 3.84619
1.10960E+06 3.80282
1.11090E+06 3.96141
1.11120E+06 3.99777
1.11310E+06 3.73350
1.11990E+06 3.63378
1.12410E+06 3.56651
1.12990E+06 3.47354
1.13360E+06 3.43955
1.13370E+06 3.43881
1.13950E+06 3.43229
1.14150E+06 3.43008
1.14560E+06 3.54707
1.14890E+06 3.41280
1.15510E+06 3.26540
1.15740E+06 3.24354
1.15920E+06 3.22641
1.16380E+06 3.27413
1.16780E+06 3.34340
1.17080E+06 3.46478
1.17170E+06 3.48356
1.17350E+06 3.52108
1.17620E+06 3.48641
1.18010E+06 3.35552
1.18330E+06 3.24809
1.18680E+06 3.14844
1.19220E+06 3.06605
1.19630E+06 3.05307
1.19910E+06 3.07289
1.20060E+06 3.08339
1.20490E+06 3.20040
1.20630E+06 3.25255
1.21060E+06 3.41276
1.21280E+06 3.70306
1.21470E+06 3.61652
1.21980E+06 3.77665
1.22420E+06 3.86514
1.22520E+06 3.88524
1.22930E+06 3.91124
1.23370E+06 3.86531
1.23390E+06 3.86344
1.23770E+06 3.78113
1.24200E+06 3.58610
1.24440E+06 3.50128
1.25450E+06 3.14412
1.26320E+06 2.91009
1.26830E+06 2.83042
1.27180E+06 2.77566
1.27890E+06 2.71506
1.28460E+06 2.69337
1.28970E+06 2.73265
1.29020E+06 2.73669
1.29590E+06 2.80624
1.29810E+06 2.92309
1.30120E+06 3.05744
1.30480E+06 3.41283
1.30650E+06 3.49084
1.30760E+06 3.59231
1.30960E+06 3.77675
1.31220E+06 3.99783
1.31410E+06 4.08466
1.31620E+06 4.13221
1.31790E+06 4.08872
1.31930E+06 4.02832
1.32100E+06 3.91123
1.32200E+06 4.19280
1.32340E+06 3.81580
1.32530E+06 3.62083
1.32900E+06 3.38558
1.32980E+06 3.33478
1.33320E+06 3.18742
1.33700E+06 2.97512
1.34340E+06 2.79306
1.35130E+06 2.62841
1.35480E+06 2.60234
1.35530E+06 2.60117
1.36370E+06 2.58066
1.36600E+06 2.55083
1.36870E+06 2.51566
1.37220E+06 2.48105
1.37650E+06 2.49838
1.38060E+06 2.55901
1.38340E+06 2.62409
1.38500E+06 2.63120
1.38730E+06 2.64136
1.38890E+06 2.94912
1.39060E+06 3.55587
1.39110E+06 3.90260
1.39200E+06 4.12756
1.39300E+06 3.86352
1.39420E+06 3.45174
1.39560E+06 3.17443
1.39750E+06 3.01855
1.39930E+06 2.98298
1.40390E+06 2.89270
1.41130E+06 2.86576
1.41940E+06 2.83643
1.42560E+06 2.69843
1.42680E+06 2.67183
1.42940E+06 2.96213
1.43110E+06 2.63273
1.43350E+06 2.58073
1.43870E+06 2.56663
1.45110E+06 2.53302
1.45540E+06 2.53452
1.46400E+06 2.53736
1.47040E+06 2.57640
1.47280E+06 2.67169
1.47320E+06 2.66246
1.47830E+06 2.54585
1.48500E+06 2.45943
1.49020E+06 2.36845
1.49310E+06 2.32486
1.49570E+06 2.32937
1.49760E+06 2.48966
1.49830E+06 2.50818
1.50080E+06 2.57474
1.50430E+06 2.51675
1.50870E+06 2.41566
1.51540E+06 2.30731
1.52590E+06 2.24945
1.53700E+06 2.21341
1.53760E+06 2.21604
1.54030E+06 2.22799
1.54380E+06 2.32896
1.54550E+06 2.26402
1.54990E+06 2.19174
1.55070E+06 2.19756
1.55690E+06 2.24227
1.56020E+06 2.55286
1.56250E+06 2.28574
1.56950E+06 2.30007
1.57510E+06 2.40124
1.57930E+06 2.54674
1.58240E+06 2.65399
1.58790E+06 2.96451
1.59230E+06 3.37628
1.59580E+06 3.80251
1.59910E+06 4.30814
1.60110E+06 4.67634
1.60170E+06 4.81371
1.60320E+06 4.93643
1.60430E+06 4.82807
1.60550E+06 4.68841
1.60610E+06 4.61874
1.60780E+06 4.39464
1.61050E+06 3.97565
1.61310E+06 3.70869
1.61570E+06 3.39793
1.61630E+06 3.35585
1.61950E+06 3.13074
1.62600E+06 2.90682
1.63090E+06 2.75521
1.63210E+06 2.86351
1.63390E+06 2.92130
1.63620E+06 2.80569
1.63880E+06 2.58179
1.64150E+06 2.48068
1.65050E+06 2.35795
1.65080E+06 2.35585
1.66280E+06 2.27119
1.66510E+06 2.24210
1.67480E+06 2.11951
1.67750E+06 1.85951
1.67980E+06 1.72952
1.68100E+06 1.91726
1.68390E+06 2.47350
1.68540E+06 2.53195
1.68890E+06 2.66854
1.69380E+06 2.82738
1.69650E+06 2.87794
1.70110E+06 2.80572
1.70560E+06 2.78725
1.70640E+06 2.78398
1.71140E+06 2.98628
1.71640E+06 3.37629
1.71960E+06 3.59290
1.72070E+06 3.47023
1.72340E+06 3.41961
1.73570E+06 3.51354
1.73900E+06 3.51352
1.74150E+06 3.51353
1.74650E+06 3.37626
1.75640E+06 3.05780
1.75820E+06 3.05268
1.76030E+06 3.19928
1.76250E+06 2.96677
1.76790E+06 2.67862
1.76980E+06 2.85050
1.77240E+06 2.60102
1.77370E+06 2.47626
1.78070E+06 2.42070
1.78340E+06 2.40545
1.78520E+06 2.46604
1.78700E+06 2.64304
1.78920E+06 2.55723
1.79130E+06 2.69394
1.79610E+06 2.76450
1.79830E+06 2.91618
1.79950E+06 3.10815
1.80070E+06 3.56341
1.80190E+06 3.96278
1.80280E+06 3.76083
1.80340E+06 3.29526
1.80400E+06 3.06279
1.80570E+06 3.01052
1.80860E+06 2.92125
1.82600E+06 2.57966
1.83590E+06 2.38527
1.84030E+06 2.34036
1.84830E+06 2.25886
1.86290E+06 2.03988
1.87930E+06 1.79384
1.88440E+06 1.74833
1.88960E+06 1.80390
1.89560E+06 1.94039
1.90140E+06 1.95054
1.90350E+06 2.28932
1.90690E+06 2.00106
1.91060E+06 1.93884
1.91170E+06 1.92025
1.91410E+06 2.04155
1.91840E+06 1.96065
1.92260E+06 1.94535
1.92810E+06 2.28926
1.93140E+06 2.63786
1.93240E+06 3.02226
1.93330E+06 3.54296
1.93360E+06 3.82126
1.93480E+06 3.51786
1.93600E+06 2.93136
1.93750E+06 2.71907
1.93930E+06 2.66847
1.94880E+06 2.80527
1.95300E+06 2.86571
1.95690E+06 3.16398
1.96150E+06 3.32572
1.96660E+06 3.30054
1.96940E+06 3.64932
1.97330E+06 3.21450
1.97380E+06 3.18196
1.97820E+06 2.89604
1.98820E+06 2.77975
1.99000E+06 2.77599
1.99000E+06 2.77599
1.99640E+06 2.76261
1.99790E+06 2.75951
2.01170E+06 2.88576
2.01500E+06 2.91599
2.01820E+06 3.17298
2.02000E+06 3.29427
2.02500E+06 3.11514
2.02690E+06 3.04008
2.03010E+06 3.04456
2.03320E+06 3.04877
2.04140E+06 3.14120
2.04460E+06 3.22206
2.04730E+06 3.12955
2.05190E+06 3.16429
2.05550E+06 3.29138
2.06830E+06 3.33484
2.07970E+06 3.30883
2.08320E+06 3.33116
2.08420E+06 3.33771
2.08970E+06 3.46768
2.09650E+06 3.47921
2.10600E+06 3.60058
2.10920E+06 3.67873
2.11380E+06 3.59775
2.12240E+06 3.33178
2.12560E+06 3.10653
2.12870E+06 3.07710
2.13200E+06 3.04588
2.13650E+06 2.79449
2.13850E+06 2.80445
2.14290E+06 2.82626
2.14790E+06 2.95906
2.15040E+06 3.06026
2.15290E+06 3.16139
2.15660E+06 3.22793
2.16000E+06 3.25616
2.16110E+06 3.26543
2.16790E+06 3.13829
2.16920E+06 3.11162
2.17500E+06 2.99268
2.17790E+06 2.93321
2.18400E+06 2.93754
2.19020E+06 2.94193
2.19610E+06 3.10076
2.20070E+06 3.58914
2.20250E+06 3.69028
2.20390E+06 3.57745
2.20930E+06 2.95079
2.21000E+06 2.93922
2.21430E+06 2.86929
2.21660E+06 2.83210
2.21930E+06 3.14119
2.22000E+06 3.22418
2.22120E+06 3.36645
2.22530E+06 2.99100
2.23250E+06 2.81469
2.23380E+06 2.80469
2.23850E+06 2.76852
2.24000E+06 2.80106
2.24210E+06 2.84649
2.24530E+06 3.14122
2.25120E+06 2.76851
2.25580E+06 2.81466
2.25980E+06 2.75237
2.26080E+06 2.73666
2.26530E+06 2.98233
2.26850E+06 3.06595
2.27080E+06 3.30589
2.27440E+06 3.12099
2.28000E+06 3.05007
2.28580E+06 2.97669
2.28900E+06 2.93607
2.29000E+06 2.93021
2.29530E+06 2.89851
2.31040E+06 2.87828
2.31350E+06 3.13255
2.31900E+06 2.88702
2.32000E+06 2.85549
2.32450E+06 2.71359
2.33000E+06 2.66262
2.33540E+06 2.61248
2.33670E+06 2.62456
2.34220E+06 2.67603
2.34630E+06 2.78580
2.36000E+06 2.80582
2.36220E+06 2.80899
2.37570E+06 2.92585
2.38000E+06 2.96316
2.38680E+06 3.02197
2.39880E+06 3.13040
2.40580E+06 3.29646
2.41000E+06 3.41792
2.41130E+06 3.45543
2.41530E+06 3.53491
2.41870E+06 3.45543
2.42270E+06 3.25681
2.42620E+06 3.37209
2.42670E+06 3.36960
2.43620E+06 3.31819
2.43870E+06 3.25678
2.44320E+06 3.32899
2.45410E+06 3.23511
2.45560E+06 3.40848
2.45960E+06 3.74794
2.46210E+06 3.52043
2.46660E+06 3.10874
2.47660E+06 3.00399
2.48950E+06 2.99763
2.49150E+06 2.99672
2.49800E+06 2.96135
2.50000E+06 2.95057
2.50350E+06 2.93173
2.51000E+06 2.96717
2.51540E+06 2.99667
2.52000E+06 3.28069
2.52090E+06 3.33623
2.52490E+06 3.75152
2.52690E+06 3.50597
2.52940E+06 3.37587
2.53000E+06 3.29793
2.53340E+06 2.85587
2.53840E+06 3.09795
2.54230E+06 2.87764
2.54830E+06 2.63920
2.55040E+06 2.62848
2.56000E+06 2.57941
2.56030E+06 2.57782
2.56330E+06 2.99312
2.56580E+06 3.30374
2.56830E+06 3.65036
2.57020E+06 3.14836
2.57320E+06 2.65006
2.57970E+06 2.45864
2.58500E+06 2.40989
2.58520E+06 2.40812
2.59420E+06 2.54173
2.59970E+06 2.98585
2.60110E+06 2.72228
2.60610E+06 2.48032
2.60890E+06 2.46299
2.61000E+06 2.45597
2.61540E+06 2.42242
2.62060E+06 2.38996
2.63000E+06 2.38585
2.63700E+06 2.38279
2.65400E+06 2.72951
2.67190E+06 2.42995
2.67640E+06 2.53812
2.68000E+06 2.52827
2.68440E+06 2.51642
2.69730E+06 2.20222
2.69990E+06 2.36335
2.70330E+06 2.57425
2.71000E+06 2.67987
2.71430E+06 2.74764
2.71880E+06 2.69700
2.72000E+06 2.72999
2.72720E+06 2.92814
2.73170E+06 2.93896
2.74070E+06 2.69339
2.75020E+06 2.57058
2.75580E+06 2.54854
2.75583E+06 2.54842
2.76000E+06 2.53202
2.78500E+06 2.43340
2.79090E+06 2.49309
2.79750E+06 2.55979
2.80000E+06 2.58515
2.81180E+06 2.70457
2.81470E+06 2.71632
2.81990E+06 2.73665
2.82000E+06 2.73640
2.82370E+06 2.70835
2.82800E+06 2.67572
2.83000E+06 2.64232
2.84000E+06 2.47569
2.84100E+06 2.45897
2.84590E+06 2.58178
2.86000E+06 2.47001
2.86050E+06 2.46619
2.88000E+06 2.50950
2.88330E+06 2.51677
2.89460E+06 2.43730
2.90680E+06 2.48790
2.90740E+06 2.49568
2.91270E+06 2.56414
2.92000E+06 2.65825
2.92470E+06 2.71899
2.94180E+06 2.22792
2.94370E+06 2.25474
2.95000E+06 2.34352
2.95230E+06 2.37588
2.97260E+06 2.43015
2.98030E+06 2.30961
2.98160E+06 2.28931
2.99460E+06 2.30643
3.00000E+06 2.31364
3.00350E+06 2.31820
3.02000E+06 2.11480
3.03280E+06 1.95698
3.04330E+06 1.94259
3.06450E+06 1.66814
3.06610E+06 1.65959
3.07000E+06 1.63880
3.07670E+06 1.60311
3.08340E+06 1.60940
3.09210E+06 1.61759
3.09860E+06 1.69733
3.09970E+06 1.71076
3.10000E+06 1.71450
3.11240E+06 1.86671
3.11390E+06 1.87951
3.12000E+06 1.93158
3.14410E+06 2.13760
3.15380E+06 2.38038
3.15550E+06 2.42288
3.15750E+06 2.38517
3.16680E+06 2.20979
3.17660E+06 2.52025
3.18000E+06 2.55694
3.18230E+06 2.58182
3.18500E+06 2.50591
3.19450E+06 2.23869
3.19720E+06 2.21535
3.20150E+06 2.17826
3.20830E+06 2.11946
3.21340E+06 2.18764
3.21560E+06 2.21707
3.22450E+06 2.33619
3.23000E+06 2.32857
3.24320E+06 2.31015
3.25300E+06 2.29650
3.26190E+06 2.43369
3.26760E+06 2.43731
3.27000E+06 2.39624
