12-Mg_n-g
>  12-Mg-24:0.789900
>  12-Mg-25:0.100000
>  12-Mg-26:0.110100
2.202110e+05 1.19346528e-02
2.202220e+05 1.12793472e-02
2.202300e+05 1.09420300e-02
2.202330e+05 1.08155366e-02
2.202440e+05 1.03517260e-02
2.202550e+05 9.88791548e-03
2.202660e+05 9.42410490e-03
2.202740e+05 9.08678848e-03
2.202770e+05 8.96029433e-03
2.202880e+05 8.49648376e-03
2.202900e+05 8.41215457e-03
2.202990e+05 8.14607295e-03
2.203100e+05 7.82086288e-03
2.203180e+05 7.58434546e-03
2.203220e+05 7.46608753e-03
2.203330e+05 7.14087667e-03
2.203440e+05 6.81566581e-03
2.203550e+05 6.49045495e-03
2.203580e+05 6.40176111e-03
2.203610e+05 6.34872972e-03
2.203740e+05 6.11892714e-03
2.203920e+05 5.80073957e-03
2.204070e+05 5.53558221e-03
2.204200e+05 5.30578043e-03
2.204220e+05 5.27042564e-03
2.204300e+05 5.12900648e-03
2.204370e+05 5.00526907e-03
2.204520e+05 4.74011250e-03
2.204670e+05 4.47495592e-03
2.204810e+05 4.22747635e-03
2.204930e+05 4.01535157e-03
2.204940e+05 3.99767431e-03
2.204960e+05 3.97913658e-03
2.205040e+05 3.90498464e-03
2.205110e+05 3.84010604e-03
2.205260e+05 3.70107549e-03
2.205410e+05 3.56204574e-03
2.205560e+05 3.42301519e-03
2.205710e+05 3.28398465e-03
2.205800e+05 3.20056648e-03
2.205850e+05 3.15422270e-03
2.206000e+05 3.01519294e-03
2.206150e+05 2.87616240e-03
2.206300e+05 2.73713264e-03
2.206450e+05 2.65758403e-03
2.206600e+05 2.57803620e-03
2.206750e+05 2.49848758e-03
2.206820e+05 2.46136484e-03
2.206890e+05 2.42424289e-03
2.207040e+05 2.34469428e-03
2.207190e+05 2.26514645e-03
2.207490e+05 2.10605080e-03
2.207660e+05 2.01589615e-03
2.207790e+05 1.97297201e-03
2.208080e+05 1.87721887e-03
2.208280e+05 1.81118252e-03
2.208380e+05 1.77816395e-03
2.208680e+05 1.67910903e-03
2.208970e+05 1.58335668e-03
2.209010e+05 1.57014936e-03
2.209270e+05 1.51428100e-03
2.209570e+05 1.44981830e-03
2.209860e+05 1.38750434e-03
2.210160e+05 1.32304164e-03
2.210370e+05 1.27791775e-03
2.210460e+05 1.26649026e-03
2.210620e+05 1.24617514e-03
2.210760e+05 1.22839941e-03
2.211050e+05 1.19157746e-03
2.211350e+05 1.15348661e-03
2.211650e+05 1.11539575e-03
2.211940e+05 1.07857460e-03
2.212240e+05 1.04048374e-03
2.212540e+05 1.00239368e-03
2.212840e+05 9.64302829e-04
2.213090e+05 9.32561133e-04
2.213130e+05 9.29809069e-04
2.213430e+05 9.09168561e-04
2.213730e+05 8.88528053e-04
2.214020e+05 8.68575588e-04
2.214120e+05 8.61695946e-04
2.214320e+05 8.47935081e-04
2.214620e+05 8.27295363e-04
2.214920e+05 8.06655645e-04
2.215210e+05 7.86703970e-04
2.215510e+05 7.66064252e-04
2.215810e+05 7.45424534e-04
2.216400e+05 7.21046790e-04
2.217000e+05 6.96256588e-04
2.217590e+05 6.71879634e-04
2.218120e+05 6.49982965e-04
2.218180e+05 6.47503471e-04
2.218330e+05 6.41306315e-04
2.218480e+05 6.35109159e-04
2.218520e+05 6.33456584e-04
2.218780e+05 6.27697834e-04
2.219370e+05 6.14630007e-04
2.219970e+05 6.01342164e-04
2.220560e+05 5.88275126e-04
2.221120e+05 5.75873666e-04
2.221150e+05 5.75209668e-04
2.221230e+05 5.73435323e-04
2.221300e+05 5.71887313e-04
2.221450e+05 5.68565747e-04
2.221750e+05 5.61922615e-04
2.222340e+05 5.48857947e-04
2.222940e+05 5.35571684e-04
2.223530e+05 5.22507806e-04
2.223960e+05 5.12987116e-04
2.224130e+05 5.11140476e-04
2.224720e+05 5.04731735e-04
2.225310e+05 4.98323783e-04
2.225910e+05 4.91807812e-04
2.226500e+05 4.85401440e-04
2.227100e+05 4.78886258e-04
2.227690e+05 4.72479886e-04
2.228290e+05 4.65966284e-04
2.228880e+05 4.59561492e-04
2.229390e+05 4.54025830e-04
2.229470e+05 4.53550832e-04
2.230070e+05 4.49988083e-04
2.230660e+05 4.46485767e-04
2.231260e+05 4.42924597e-04
2.232440e+05 4.35922334e-04
2.233630e+05 4.28862797e-04
2.234820e+05 4.21805630e-04
2.234830e+05 4.21746340e-04
2.236010e+05 4.17641466e-04
2.236290e+05 4.16667846e-04
2.237200e+05 4.13504174e-04
2.238390e+05 4.09369252e-04
2.239580e+05 4.05235911e-04
2.240260e+05 4.02875145e-04
2.240760e+05 4.01824209e-04
2.241950e+05 3.99325719e-04
2.243140e+05 3.96828019e-04
2.244330e+05 3.94333479e-04
2.245520e+05 3.91840518e-04
2.245690e+05 3.91484607e-04
2.246710e+05 3.90456034e-04
2.247890e+05 3.89268990e-04
2.249080e+05 3.88072937e-04
2.250270e+05 3.86880045e-04
2.251460e+05 3.85687942e-04
2.252650e+05 3.84498208e-04
2.253690e+05 3.83460194e-04
2.253840e+05 3.83310845e-04
2.254430e+05 3.82722457e-04
2.255020e+05 3.82134860e-04
2.256210e+05 3.80951445e-04
2.256560e+05 3.80603847e-04
2.257400e+05 3.80382898e-04
2.258590e+05 3.80071467e-04
2.260970e+05 3.79454925e-04
2.263340e+05 3.78848779e-04
2.265720e+05 3.78247244e-04
2.266630e+05 3.78019174e-04
2.267430e+05 3.77820227e-04
2.268100e+05 3.77956979e-04
2.270470e+05 3.78446069e-04
2.272850e+05 3.78944298e-04
2.275230e+05 3.79449636e-04
2.277600e+05 3.79960052e-04
2.279980e+05 3.80478819e-04
2.282790e+05 3.81100688e-04
2.285610e+05 3.81734856e-04
2.288420e+05 3.82374892e-04
2.289170e+05 3.82547380e-04
2.289270e+05 3.82595176e-04
2.291230e+05 3.83535245e-04
2.294040e+05 3.84890271e-04
2.294630e+05 3.85176116e-04
2.296860e+05 3.86259286e-04
2.299670e+05 3.87630900e-04
2.302480e+05 3.89010413e-04
2.305290e+05 3.90398615e-04
2.308110e+05 3.91798436e-04
2.310900e+05 3.93190874e-04
2.310920e+05 3.93202874e-04
2.313730e+05 3.94895967e-04
2.319360e+05 3.98308208e-04
2.324850e+05 4.01659767e-04
2.324980e+05 4.01739417e-04
2.325330e+05 4.01955498e-04
2.325680e+05 4.02170789e-04
2.326390e+05 4.02602151e-04
2.327800e+05 4.03465675e-04
2.330610e+05 4.05198262e-04
2.331970e+05 4.06036559e-04
2.332640e+05 4.06450825e-04
2.336230e+05 4.08895359e-04
2.341860e+05 4.12743103e-04
2.347480e+05 4.16597339e-04
2.353110e+05 4.20469570e-04
2.358730e+05 4.24341184e-04
2.360430e+05 4.25513879e-04
2.364360e+05 4.28224473e-04
2.369310e+05 4.31638526e-04
2.369980e+05 4.32100827e-04
2.371390e+05 4.33071606e-04
2.372800e+05 4.34041595e-04
2.375610e+05 4.35980956e-04
2.376110e+05 4.36324914e-04
2.381230e+05 4.40071820e-04
2.392480e+05 4.48268488e-04
2.396010e+05 4.50826625e-04
2.403730e+05 4.56390905e-04
2.414990e+05 4.64414060e-04
2.415150e+05 4.64527311e-04
2.415500e+05 4.64772776e-04
2.415840e+05 4.65017976e-04
2.416540e+05 4.65506538e-04
2.417920e+05 4.66483130e-04
2.420700e+05 4.68428945e-04
2.426240e+05 4.72293978e-04
2.432200e+05 4.76403964e-04
2.437490e+05 4.80010386e-04
2.447390e+05 4.86648312e-04
2.448740e+05 4.87541959e-04
2.451550e+05 4.89395361e-04
2.454370e+05 4.91235601e-04
2.459990e+05 4.94880795e-04
2.460930e+05 4.95485519e-04
2.463060e+05 4.96849541e-04
2.463510e+05 4.97147734e-04
2.466090e+05 4.98847101e-04
2.471240e+05 5.02222440e-04
2.473020e+05 5.03380396e-04
2.477760e+05 5.06448997e-04
2.482490e+05 5.09504471e-04
2.483780e+05 5.10335987e-04
2.488580e+05 5.13430422e-04
2.493370e+05 5.16545696e-04
2.493740e+05 5.16787292e-04
2.494520e+05 5.17300080e-04
2.495310e+05 5.17814147e-04
2.496870e+05 5.18846833e-04
2.500000e+05 5.20935995e-04
2.500010e+05 5.20942407e-04
2.500020e+05 5.20946845e-04
2.500030e+05 5.20956812e-04
2.500060e+05 5.20977233e-04
2.500120e+05 5.21017286e-04
2.500240e+05 5.21098182e-04
2.500480e+05 5.21260763e-04
2.500960e+05 5.21585135e-04
2.501920e+05 5.22237830e-04
2.504990e+05 5.24360005e-04
2.509540e+05 5.27631028e-04
2.516310e+05 5.32932989e-04
2.522350e+05 5.38396015e-04
2.527490e+05 5.43970738e-04
2.527750e+05 5.44284376e-04
2.528540e+05 5.45255005e-04
2.529320e+05 5.46259901e-04
2.530890e+05 5.48391036e-04
2.532510e+05 5.50781328e-04
2.534120e+05 5.53385986e-04
2.535730e+05 5.56261579e-04
2.535940e+05 5.56659666e-04
2.536640e+05 5.58027172e-04
2.537340e+05 5.59462610e-04
2.538960e+05 5.63069349e-04
2.540570e+05 5.67156648e-04
2.542180e+05 5.71819785e-04
2.543790e+05 5.77211999e-04
2.545400e+05 5.83518917e-04
2.547010e+05 5.90986199e-04
2.548220e+05 5.97560334e-04
2.549430e+05 6.05162919e-04
2.549990e+05 6.09094719e-04
2.550000e+05 6.09170757e-04
2.550640e+05 6.14050851e-04
2.551850e+05 6.24537813e-04
2.552660e+05 6.32648379e-04
2.553460e+05 6.41696646e-04
2.554270e+05 6.52105032e-04
2.555070e+05 6.63855546e-04
2.555880e+05 6.77549126e-04
2.556690e+05 6.93441787e-04
2.557490e+05 7.11790337e-04
2.558300e+05 7.33705985e-04
2.558700e+05 7.46022482e-04
2.559100e+05 7.59494603e-04
2.559510e+05 7.74660180e-04
2.559910e+05 7.90958563e-04
2.560310e+05 8.08949701e-04
2.560720e+05 8.29404449e-04
2.561120e+05 8.51619972e-04
2.561520e+05 8.76422419e-04
2.561930e+05 9.04958633e-04
2.562330e+05 9.36361484e-04
2.562730e+05 9.71903410e-04
2.563130e+05 1.01235852e-03
2.563540e+05 1.05989972e-03
2.563940e+05 1.11344347e-03
2.564140e+05 1.14332360e-03
2.564340e+05 1.17557343e-03
2.564540e+05 1.21044573e-03
2.564750e+05 1.25020821e-03
2.564950e+05 1.29142341e-03
2.565150e+05 1.33629584e-03
2.565350e+05 1.38527575e-03
2.565550e+05 1.43886868e-03
2.565750e+05 1.49768285e-03
2.565960e+05 1.56582643e-03
2.566160e+05 1.63766605e-03
2.566360e+05 1.71727039e-03
2.566560e+05 1.80579269e-03
2.566760e+05 1.90463109e-03
2.566960e+05 2.01544438e-03
2.567110e+05 2.10761252e-03
2.567160e+05 2.14024679e-03
2.567260e+05 2.20864334e-03
2.567370e+05 2.28904707e-03
2.567470e+05 2.36726207e-03
