Rb-85(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1128.98 0.0316276
1146.28 0.0412310
1154.92 0.0517690
1163.57 0.0707281
1172.22 0.109636
1176.55 0.151303
1178.71 0.206061
1179.25 0.242995
1179.79 0.328243
1180.06 0.429170
1180.19 0.518564
1180.33 0.663284
1180.46 0.920724
1180.60 1.44350
1180.67 1.93304
1180.73 2.72914
1180.80 4.15018
1180.87 6.69225
1180.94 10.6233
1181.00 13.1915
1181.07 10.5626
1181.13 6.69735
1181.17 4.93635
1181.21 3.74345
1181.30 2.31897
1181.38 1.58423
1181.46 1.17234
1181.63 0.751712
1181.79 0.557232
1182.12 0.392206
1182.45 0.328961
1183.11 0.288042
1183.77 0.282948
1186.41 0.344418
1189.06 0.474207
1191.70 0.710530
1193.02 0.905202
1194.34 1.19468
1195.66 1.65242
1196.98 2.43674
1197.64 3.05870
1198.30 3.95103
1198.96 5.29644
1199.62 7.45630
1200.28 11.2342
1200.61 14.2585
1200.94 18.6283
1201.27 25.2132
1201.60 35.6158
1201.93 52.8207
1202.26 81.7785
1202.63 131.269
1203.00 164.406
1203.37 131.173
1203.74 81.6857
1204.03 55.4424
1204.32 38.9023
1204.61 28.3573
1204.90 21.4074
1205.48 13.2848
1206.06 8.97849
1206.64 6.44790
1207.22 4.84875
1208.38 3.02159
1209.54 2.05984
1210.70 1.49430
1211.86 1.13395
1213.02 0.890501
1215.34 0.592290
1217.66 0.423849
1219.99 0.319550
1222.31 0.250681
1226.95 0.168592
1231.59 0.124528
1236.23 0.104171
1237.39 0.106028
1238.55 0.120335
1239.13 0.143101
1239.71 0.206063
1240.00 0.286281
1240.14 0.359622
1240.29 0.480576
1240.43 0.699907
1240.51 0.883965
1240.58 1.15605
1240.65 1.59288
1240.72 2.32088
1240.80 3.66222
1240.87 6.16768
1240.94 9.83831
1241.00 12.2310
1241.07 9.77925
1241.13 6.16763
1241.20 3.73746
1241.27 2.42955
1241.34 1.67876
1241.41 1.23283
1241.54 0.750398
1241.68 0.515749
1241.82 0.383602
1241.95 0.303196
1242.22 0.213568
1242.77 0.140825
1243.32 0.112444
1244.41 0.0906859
1245.50 0.0839085
1246.59 0.0851034
1247.69 0.100396
1248.23 0.124304
1248.78 0.189404
1249.05 0.271453
1249.19 0.346278
1249.32 0.467919
1249.46 0.688014
1249.60 1.13515
1249.67 1.55913
1249.73 2.25344
1249.80 3.47891
1249.87 5.71622
1249.94 9.14139
1250.00 11.3801
1250.07 9.08622
1250.13 5.71624
1250.21 3.29339
1250.28 2.05409
1250.36 1.38691
1250.44 0.998074
1250.59 0.593820
1250.74 0.402403
1250.89 0.296451
1251.04 0.232629
1251.34 0.162187
1251.95 0.105496
1252.56 0.0833238
1253.77 0.0655491
1254.98 0.0581158
1259.83 0.0473202
1269.53 0.0400814
1288.92 0.0371564
1308.32 0.0423197
1327.71 0.0568088
1337.41 0.0700437
1347.11 0.0906185
1356.80 0.124388
1366.50 0.184764
1371.35 0.234401
1376.20 0.308256
1381.05 0.424942
1383.47 0.510422
1385.90 0.624961
1388.32 0.783365
1390.75 1.01082
1393.17 1.35376
1395.59 1.90429
1398.02 2.86583
1399.23 3.63612
1400.44 4.74904
1401.65 6.42582
1402.87 9.07382
1404.08 13.4499
1405.29 20.8016
1406.65 33.2624
1408.00 41.5302
1409.36 33.1813
1410.71 20.7233
1412.12 12.5037
1413.53 8.01445
1414.94 5.47439
1416.36 3.94236
1417.77 2.96044
1419.18 2.29921
1422.00 1.49628
1424.82 1.04850
1427.65 0.774825
1433.29 0.472402
1438.94 0.318476
1444.58 0.230212
1450.23 0.177090
1453.05 0.165955
1454.46 0.189704
1454.81 0.217778
1455.16 0.290491
1455.34 0.377172
1455.52 0.566584
1455.61 0.756865
