Ge-76(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
6.51188E+06 0.000337387
6.58869E+06 0.000329507
6.59507E+06 0.000328853
6.59507E+06 0.000328853
6.68444E+06 0.000319685
6.68444E+06 0.000319685
6.88274E+06 0.000299343
6.88274E+06 0.000299343
6.99958E+06 0.000287357
7.00000E+06 0.000287314
7.10161E+06 0.000280996
7.10161E+06 0.000280995
7.60915E+06 0.000249435
8.00000E+06 0.000225130
9.00000E+06 0.000196877
9.55356E+06 0.000196316
9.55356E+06 0.000196316
1.00000E+07 0.000195864
1.10000E+07 0.000228479
1.20000E+07 0.000294240
1.21976E+07 0.000310227
1.21976E+07 0.000310230
1.30000E+07 0.000375144
1.40000E+07 0.000429243
1.49890E+07 0.000440441
1.49890E+07 0.000440441
1.50000E+07 0.000440565
1.60000E+07 0.000413847
1.61452E+07 0.000403978
1.66052E+07 0.000372712
1.70000E+07 0.000345878
1.80000E+07 0.000265428
1.90000E+07 0.000189570
2.00000E+07 0.000133445
