Br-81(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1053.50 0.0746971
1057.34 0.0846640
1061.19 0.103114
1063.11 0.121454
1065.03 0.162843
1065.99 0.213287
1066.47 0.260806
1066.95 0.343641
1067.44 0.511417
1067.68 0.669285
1067.92 0.940415
1068.16 1.46628
1068.28 1.93712
1068.40 2.69923
1068.52 4.04623
1068.64 6.73828
1068.70 9.18696
1068.76 13.1406
1068.82 19.8738
1068.88 31.6134
1068.94 50.6224
1069.00 63.0080
1069.06 50.3043
1069.13 31.6184
1069.18 21.4154
1069.23 14.9929
1069.28 10.9217
1069.32 8.29523
1069.42 5.16871
1069.52 3.53417
1069.62 2.56736
1069.72 1.96259
1069.92 1.26910
1070.12 0.905607
1070.32 0.692494
1070.72 0.466717
1071.12 0.357133
1071.51 0.296925
1072.31 0.239423
1073.90 0.211919
1075.49 0.227037
1077.08 0.277839
1077.88 0.328093
1078.67 0.415841
1079.47 0.593342
1079.87 0.761827
1080.26 1.05428
1080.66 1.63798
1080.86 2.17742
1081.06 3.08238
1081.26 4.77241
1081.36 6.23401
1081.46 8.47681
1081.56 12.2379
1081.66 18.9825
1081.71 24.5725
1081.76 32.5386
1081.81 44.6273
1081.86 62.2145
1081.93 99.8362
1082.00 124.519
1082.07 99.2797
1082.15 62.2093
1082.23 36.5630
1082.30 23.1635
1082.38 15.6657
1082.46 11.2756
1082.54 8.46062
1082.62 6.60377
1082.78 4.36245
1082.94 3.11435
1083.10 2.35666
1083.42 1.52799
1083.73 1.10888
1084.05 0.871309
1084.68 0.629641
1085.32 0.520941
1085.95 0.468831
1087.22 0.438919
1089.76 0.506040
1091.03 0.584068
1092.30 0.698959
1092.93 0.775129
1093.57 0.867794
1094.20 0.981952
1094.84 1.12388
1095.47 1.30359
1096.11 1.53466
1096.74 1.83942
1097.37 2.25111
1098.01 2.82794
1098.64 3.66789
1099.28 4.96247
1099.91 7.09760
1100.23 8.73239
1100.55 10.9941
1100.86 14.2515
1101.18 19.1641
1101.50 27.0397
1101.82 40.4938
1102.13 65.4127
1102.29 85.7709
1102.45 113.935
1102.73 182.305
1103.00 227.874
1103.28 182.202
1103.55 113.835
1103.72 84.4888
1103.88 63.7566
1104.21 38.8623
1104.55 25.6627
1104.88 18.0885
1105.21 13.3787
1105.54 10.2887
1106.20 6.62233
1106.86 4.62144
1107.53 3.41726
1108.85 2.10775
1110.18 1.45109
1111.50 1.07871
1114.15 0.699805
1116.80 0.529330
1119.45 0.449101
1124.76 0.422074
1130.06 0.535181
1132.71 0.674928
1135.36 0.932905
1138.01 1.45864
1139.33 1.94583
1140.66 2.76007
1141.99 4.26834
1142.65 5.55128
1143.31 7.51402
1143.97 10.7223
1144.64 16.3834
1145.30 27.3907
1145.63 36.7459
1145.96 50.2380
1146.48 80.2417
1147.00 100.184
1147.52 80.1559
1148.04 50.1551
1148.49 32.7911
1148.95 22.3253
1149.40 15.9273
1149.86 11.8525
1150.76 7.23472
1151.67 4.86164
1152.58 3.49611
1153.48 2.64518
1155.30 1.68796
1157.11 1.19356
1158.93 0.908293
1162.56 0.615238
1166.18 0.484913
1169.81 0.427781
1177.07 0.429588
1180.70 0.477934
1184.33 0.566605
1187.96 0.717441
1191.59 0.979402
1193.40 1.18405
1195.21 1.47159
1197.03 1.89148
1198.84 2.53398
1200.66 3.58023
1202.47 5.41879
1203.38 6.88315
1204.29 8.95803
1205.19 11.9457
1206.10 16.2270
1207.55 25.8875
1209.00 32.2893
1210.45 25.8114
1211.90 16.1559
1212.88 11.6251
1213.85 8.55366
1215.80 5.04064
1217.75 3.28122
1219.70 2.30518
1221.65 1.71661
1223.60 1.33826
1227.50 0.904509
1231.40 0.683146
1235.30 0.565210
1243.10 0.492725
1250.90 0.588020
1254.80 0.729214
1258.70 0.999446
1262.60 1.55670
1264.55 2.07273
1266.50 2.92964
1268.45 4.49485
1269.43 5.80591
1270.40 7.78318
1271.38 10.9386
1272.35 16.3346
1273.33 26.3047
1273.81 34.4098
1274.30 45.6478
1275.15 72.9665
1276.00 91.1213
1276.85 72.8430
1277.70 45.5248
1278.24 33.3798
1278.77 24.9424
1279.84 14.9708
1280.91 9.80181
1281.97 6.86441
1283.04 5.05915
1284.11 3.87822
1286.25 2.48566
1288.38 1.73044
1290.52 1.27665
1294.79 0.782505
1299.06 0.533959
1303.33 0.393339
1307.61 0.318285
1309.74 0.342005
1310.28 0.389612
1310.81 0.526184
1311.08 0.702020
1311.21 0.863823
1311.34 1.12857
1311.48 1.61154
1311.61 2.60394
1311.68 3.54772
1311.74 5.13633
1311.81 8.00274
1311.88 13.2725
1311.94 21.1278
1312.00 26.2388
1312.06 20.9924
1312.12 13.2708
1312.18 8.41675
1312.24 5.66537
1312.30 4.03513
1312.36 3.01836
1312.47 1.89256
1312.59 1.32514
1312.71 1.00023
1312.82 0.800647
1313.05 0.576171
1313.29 0.458792
1313.52 0.389908
1313.98 0.314870
1314.91 0.252272
1315.84 0.224182
1319.56 0.176198
1327.00 0.132419
1334.44 0.111515
1336.30 0.112468
1338.16 0.124872
1339.09 0.145893
1339.55 0.167513
1340.02 0.206858
1340.48 0.288503
1340.72 0.366565
1340.95 0.500724
1341.18 0.762785
1341.30 0.996556
1341.41 1.37421
1341.53 2.03931
1341.64 3.36018
1341.70 4.55329
1341.76 6.46569
1341.82 9.69068
1341.88 15.2481
1341.94 24.3821
1342.00 30.4868
1342.06 24.3829
1342.12 15.2489
1342.17 10.3698
1342.22 7.33723
1342.27 5.39127
1342.32 4.10207
1342.41 2.57600
1342.51 1.77323
1342.61 1.29609
1342.70 0.996671
1342.90 0.651852
1343.09 0.470104
1343.28 0.362881
1343.67 0.248170
1344.05 0.190914
1344.44 0.158217
1345.21 0.123890
1346.75 0.0967233
1348.30 0.0853846
1354.47 0.0681143
1366.81 0.0538033
1391.50 0.0405128
1416.19 0.0365838
1428.53 0.0395315
1431.62 0.0428310
1434.70 0.0518061
1436.25 0.0638775
1437.02 0.0757235
1437.79 0.0969803
1438.56 0.141363
1438.95 0.184387
1439.33 0.260143
1439.72 0.413692
1439.91 0.557424
1440.10 0.799802
1440.30 1.26176
1440.39 1.66812
1440.49 2.30220
1440.59 3.39203
1440.68 5.41857
1440.73 7.14073
1440.78 9.73599
1440.83 13.7702
1440.88 20.0734
1440.94 32.2505
1441.00 40.2188
1441.06 32.0453
1441.13 20.0750
1441.18 13.3616
1441.23 9.28602
1441.28 6.72521
1441.33 5.05606
1441.43 3.11349
1441.54 2.10704
1441.64 1.51535
1441.74 1.14648
1441.95 0.724867
1442.15 0.504257
1442.36 0.374832
1442.76 0.237305
1443.17 0.169380
1443.58 0.131072
1444.40 0.0917945
1446.04 0.0628958
1447.68 0.0527909
1450.96 0.0461472
1454.24 0.0446572
1467.34 0.0493691
1480.45 0.0622225
1493.56 0.0873819
1500.12 0.108864
1506.67 0.141617
1513.23 0.194793
1519.78 0.289207
1523.06 0.366511
1526.34 0.481105
1529.61 0.661355
1532.89 0.968495
1534.53 1.21023
1536.17 1.55546
1537.81 2.07196
1539.45 2.89161
1541.09 4.30049
1541.90 5.41068
1542.72 6.98973
1543.54 9.32387
1544.36 12.9071
1545.18 18.6187
1546.00 27.8074
1547.00 44.5071
1548.00 55.6201
1549.00 44.4349
1550.00 27.7375
1550.91 17.8195
1551.81 11.9679
1552.72 8.44409
1553.62 6.22499
1555.43 3.74174
1557.24 2.48004
1559.05 1.75885
1560.86 1.31076
1564.49 0.807567
1568.11 0.547233
1571.73 0.395609
1575.35 0.299712
1578.97 0.235268
1586.21 0.156759
1593.45 0.112612
1600.70 0.0853656
1607.94 0.0674015
1622.42 0.0460539
1636.91 0.0347050
1651.39 0.0296340
1655.01 0.0301476
1658.63 0.0338428
1660.44 0.0398256
1662.25 0.0572179
1663.16 0.0810941
1664.07 0.145987
1664.52 0.231033
1664.74 0.311300
1664.97 0.449024
1665.20 0.716622
1665.31 0.954161
1665.42 1.33610
1665.54 2.00425
1665.65 3.31728
1665.71 4.50287
1665.76 6.34763
1665.82 9.46490
1665.88 14.6315
1665.94 23.4421
1666.00 29.1803
1666.06 23.2939
1666.13 14.6324
1666.17 10.6022
1666.21 7.83876
1666.29 4.66215
1666.37 3.02219
1666.45 2.11221
1666.53 1.55021
1666.61 1.18915
1666.78 0.762705
1666.94 0.532837
1667.10 0.395346
1667.43 0.246698
1667.75 0.171976
1668.08 0.129458
1668.73 0.0851960
1670.03 0.0519660
1671.34 0.0398987
1673.94 0.0311606
1676.54 0.0283033
1681.75 0.0275067
1686.96 0.0303473
1692.17 0.0388705
1694.78 0.0480318
1697.38 0.0651435
1699.99 0.102034
1701.29 0.138707
1702.59 0.205004
1703.24 0.260432
1703.90 0.344120
1704.55 0.479299
1705.20 0.718678
1705.52 0.914762
1705.85 1.20450
1706.17 1.66161
1706.50 2.43805
1706.83 3.92602
1706.99 5.23631
1707.15 7.30221
1707.31 10.8693
1707.48 17.6840
1707.56 23.6352
1707.64 32.6655
1707.72 47.0069
1707.80 69.9679
1707.90 111.991
1708.00 139.560
1708.10 111.533
1708.20 69.6068
1708.31 40.3232
1708.43 25.1104
1708.54 16.8253
1708.65 11.9584
1708.77 8.89826
1708.88 6.86349
1709.10 4.42565
1709.33 3.08382
1709.56 2.27013
1710.01 1.37747
1710.46 0.925362
1710.91 0.665564
1711.36 0.502757
1711.82 0.394277
1712.72 0.262680
1713.62 0.189205
1714.53 0.143966
1715.43 0.114204
1717.24 0.0786259
1719.04 0.0589983
1722.66 0.0391613
1726.27 0.0298111
1729.89 0.0246671
1737.12 0.0195229
1751.57 0.0162239
1766.03 0.0163284
1780.49 0.0192095
1787.72 0.0224035
1794.95 0.0279367
1802.18 0.0382515
1805.79 0.0470325
1809.41 0.0606128
1813.02 0.0836413
1816.63 0.129923
1818.44 0.176997
1819.35 0.216079
1820.25 0.278139
1821.15 0.393487
1821.60 0.497667
1822.06 0.673847
1822.51 1.02000
1822.73 1.33934
1822.96 1.87851
