74-W_n-g
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
4.624000e+01 1.08479039e+03
4.625000e+01 1.04140587e+03
4.629000e+01 8.67867962e+02
4.634000e+01 5.43136708e+02
4.638250e+01 3.59247936e+02
4.642500e+01 2.47043731e+02
4.646750e+01 1.77780980e+02
4.651000e+01 1.33301756e+02
4.651860e+01 1.28191378e+02
4.659500e+01 8.27922268e+01
4.668000e+01 5.69408230e+01
4.676500e+01 4.23481652e+01
4.685000e+01 3.36222353e+01
4.697580e+01 2.74781467e+01
4.702000e+01 2.53194440e+01
4.719000e+01 2.44667883e+01
4.727500e+01 2.68340313e+01
4.736000e+01 3.21047899e+01
4.743300e+01 4.10853131e+01
4.744500e+01 4.25615762e+01
4.753000e+01 6.40288084e+01
4.757250e+01 8.32556586e+01
4.761500e+01 1.13387656e+02
4.765750e+01 1.62377045e+02
4.766170e+01 1.70325394e+02
4.770000e+01 2.42806827e+02
4.775000e+01 3.84895834e+02
4.780000e+01 4.79569724e+02
4.785000e+01 3.84269632e+02
4.789030e+01 2.69146558e+02
4.790000e+01 2.41437058e+02
4.793280e+01 1.75603212e+02
4.796560e+01 1.30499970e+02
4.803130e+01 7.81872118e+01
4.809690e+01 5.15434103e+01
4.811890e+01 4.65123109e+01
4.816250e+01 3.65418147e+01
4.822810e+01 2.73509443e+01
4.829380e+01 2.13353021e+01
4.834750e+01 1.84140682e+01
4.842500e+01 1.41987394e+01
4.846180e+01 1.30982630e+01
4.855630e+01 1.02732495e+01
4.857610e+01 9.91047746e+00
4.868750e+01 7.87143120e+00
4.869040e+01 7.84164219e+00
4.880470e+01 6.67168657e+00
4.886190e+01 6.08920275e+00
4.891900e+01 5.51146433e+00
4.895000e+01 5.20131786e+00
4.897620e+01 5.06627705e+00
4.900470e+01 4.92349060e+00
4.901900e+01 4.85333347e+00
4.903330e+01 4.78446253e+00
4.904760e+01 4.71718091e+00
4.906190e+01 4.65185823e+00
4.907620e+01 4.58898813e+00
4.909050e+01 4.52921035e+00
4.910470e+01 4.47398788e+00
4.911900e+01 4.42343819e+00
4.913330e+01 4.37982727e+00
4.914760e+01 4.34559331e+00
4.916190e+01 4.32444458e+00
4.917620e+01 4.32187448e+00
4.919050e+01 4.34650607e+00
4.920480e+01 4.41210524e+00
4.921250e+01 4.48277635e+00
4.921900e+01 4.55652030e+00
4.923330e+01 4.82028986e+00
4.924760e+01 5.25161045e+00
4.926190e+01 5.94247245e+00
4.928100e+01 7.31701713e+00
4.930000e+01 8.21195202e+00
4.930950e+01 7.89789486e+00
4.931910e+01 7.18953391e+00
4.933810e+01 5.68886256e+00
4.935880e+01 4.64184568e+00
4.937950e+01 4.05183000e+00
4.940020e+01 3.69371468e+00
4.942080e+01 3.45331970e+00
4.944150e+01 3.27553571e+00
4.946220e+01 3.13397261e+00
4.947500e+01 3.06440215e+00
4.950360e+01 2.95055450e+00
4.954500e+01 2.82515586e+00
4.958630e+01 2.71907448e+00
4.966910e+01 2.53331849e+00
4.975180e+01 2.36387496e+00
4.983450e+01 2.20150179e+00
4.991730e+01 2.04251866e+00
5.000000e+01 1.88571895e+00
5.019790e+01 1.68291841e+00
5.039580e+01 1.48282516e+00
5.047810e+01 1.40010715e+00
5.059360e+01 1.32707122e+00
5.079150e+01 1.20253357e+00
5.095630e+01 1.09919178e+00
5.118730e+01 1.01539303e+00
5.158300e+01 8.72398058e-01
5.191250e+01 7.53535207e-01
5.197880e+01 7.40544210e-01
5.237460e+01 6.63120783e-01
5.286880e+01 5.66570834e-01
5.316610e+01 5.31010537e-01
5.382500e+01 4.52303200e-01
