57-La_n-g
> 57-La-139:1.000000
8.761210e+02 1.18427000e+00
8.762370e+02 8.41761000e-01
8.763530e+02 6.28736000e-01
8.764690e+02 4.87535000e-01
8.767020e+02 3.17626000e-01
8.769340e+02 2.23333000e-01
8.771660e+02 1.65619000e-01
8.773990e+02 1.27751000e-01
8.778630e+02 8.27221000e-02
8.783280e+02 5.80039000e-02
8.787930e+02 4.29889000e-02
8.792570e+02 3.31962000e-02
8.801870e+02 2.16231000e-02
8.811160e+02 1.53113000e-02
8.820450e+02 1.14996000e-02
8.829740e+02 9.02730000e-03
8.848330e+02 6.13428000e-03
8.866920e+02 4.59100000e-03
8.904090e+02 3.17091000e-03
8.941260e+02 2.79082000e-03
8.978430e+02 3.38553000e-03
8.997010e+02 4.62783000e-03
9.015600e+02 8.42313000e-03
9.024890e+02 1.38017000e-02
9.034190e+02 2.91063000e-02
9.038830e+02 5.03123000e-02
9.043480e+02 1.09781000e-01
9.045800e+02 1.91028000e-01
9.046960e+02 2.70999000e-01
9.048120e+02 4.14439000e-01
9.049290e+02 7.12315000e-01
9.049870e+02 9.98973000e-01
9.050450e+02 1.49977000e+00
9.051030e+02 2.49933000e+00
9.051320e+02 3.42186000e+00
9.051610e+02 4.95498000e+00
9.051900e+02 7.79847000e+00
9.052050e+02 1.02064000e+01
9.052190e+02 1.38903000e+01
9.052340e+02 1.98900000e+01
9.052480e+02 3.04609000e+01
9.052630e+02 5.08879000e+01
9.052700e+02 6.83408000e+01
9.052770e+02 9.30847000e+01
9.052890e+02 1.48942000e+02
9.053000e+02 1.86183000e+02
9.053120e+02 1.48943000e+02
9.053230e+02 9.30861000e+01
9.053300e+02 6.86296000e+01
9.053370e+02 5.16865000e+01
9.053510e+02 3.13625000e+01
9.053650e+02 2.06601000e+01
9.053790e+02 1.45141000e+01
9.053930e+02 1.06881000e+01
9.054070e+02 8.19389000e+00
9.054350e+02 5.23751000e+00
9.054630e+02 3.62258000e+00
9.054910e+02 2.65411000e+00
9.055470e+02 1.59659000e+00
9.056040e+02 1.06441000e+00
9.056600e+02 7.59836000e-01
9.057720e+02 4.42713000e-01
9.058840e+02 2.89629000e-01
9.059960e+02 2.04269000e-01
9.062210e+02 1.17443000e-01
9.066690e+02 5.37704000e-02
9.071180e+02 3.10342000e-02
9.080160e+02 1.45687000e-02
9.089130e+02 8.73666000e-03
9.107080e+02 4.52700000e-03
9.125030e+02 3.03402000e-03
9.196830e+02 1.57468000e-03
9.268630e+02 1.34597000e-03
9.340430e+02 1.37554000e-03
9.412230e+02 1.62926000e-03
9.448130e+02 1.91824000e-03
9.484030e+02 2.46252000e-03
9.519930e+02 3.64393000e-03
9.537880e+02 4.82988000e-03
9.555830e+02 7.00602000e-03
9.573780e+02 1.16839000e-02
9.582760e+02 1.63642000e-02
9.591730e+02 2.49321000e-02
9.600710e+02 4.32818000e-02
9.605190e+02 6.15662000e-02
9.609680e+02 9.48636000e-02
9.614170e+02 1.65609000e-01
9.616410e+02 2.35459000e-01
9.618660e+02 3.61306000e-01
9.619780e+02 4.66115000e-01
9.620900e+02 6.24260000e-01
9.622020e+02 8.79117000e-01
9.623140e+02 1.32901000e+00
9.623700e+02 1.69574000e+00
9.624270e+02 2.23769000e+00
9.624830e+02 3.08660000e+00
9.625390e+02 4.52474000e+00
9.625950e+02 7.24746000e+00
9.626230e+02 9.62529000e+00
9.626510e+02 1.33494000e+01
9.626790e+02 1.96760000e+01
9.626930e+02 2.45741000e+01
9.627070e+02 3.14399000e+01
9.627210e+02 4.13835000e+01
9.627350e+02 5.62884000e+01
9.627490e+02 7.92948000e+01
9.627630e+02 1.14932000e+02
9.627820e+02 1.83761000e+02
9.628000e+02 2.29592000e+02
9.628190e+02 1.83756000e+02
9.628370e+02 1.14927000e+02
9.628550e+02 7.12869000e+01
9.628730e+02 4.67055000e+01
9.628920e+02 3.23294000e+01
9.629100e+02 2.35374000e+01
9.629280e+02 1.77935000e+01
9.629460e+02 1.39033000e+01
9.629820e+02 9.11339000e+00
9.630190e+02 6.41459000e+00
9.630550e+02 4.75237000e+00
9.631270e+02 2.90235000e+00
9.632000e+02 1.95279000e+00
9.632730e+02 1.40250000e+00
9.633450e+02 1.05565000e+00
9.634180e+02 8.23403000e-01
9.635630e+02 5.40754000e-01
9.637080e+02 3.82168000e-01
9.638530e+02 2.84409000e-01
9.639980e+02 2.19970000e-01
9.642890e+02 1.42889000e-01
9.645790e+02 1.00353000e-01
9.651600e+02 5.74531000e-02
9.657400e+02 3.73362000e-02
9.663210e+02 2.63228000e-02
9.674820e+02 1.52993000e-02
9.686440e+02 1.01673000e-02
9.698050e+02 7.37154000e-03
9.721280e+02 4.58808000e-03
9.744510e+02 3.30244000e-03
9.767730e+02 2.60874000e-03
9.814190e+02 1.93225000e-03
9.907090e+02 1.49113000e-03
1.000000e+03 1.38991000e-03
1.022200e+03 1.49916000e-03
1.044400e+03 1.84747000e-03
1.066600e+03 2.47965000e-03
1.088810e+03 3.66121000e-03
1.099910e+03 4.66305000e-03
1.111010e+03 6.19661000e-03
1.122110e+03 8.71492000e-03
1.133210e+03 1.32837000e-02
1.138760e+03 1.71145000e-02
1.144310e+03 2.29356000e-02
1.149860e+03 3.24135000e-02
1.155410e+03 4.94074000e-02
1.158190e+03 6.34908000e-02
1.160960e+03 8.46354000e-02
1.163740e+03 1.18500000e-01
1.166510e+03 1.77763000e-01
1.167900e+03 2.25678000e-01
1.169290e+03 2.95857000e-01
1.170670e+03 4.04656000e-01
1.172060e+03 5.85983000e-01
1.173450e+03 9.21431000e-01
1.174140e+03 1.20659000e+00
1.174840e+03 1.64272000e+00
1.175530e+03 2.35526000e+00
1.176220e+03 3.61439000e+00
1.176570e+03 4.62265000e+00
1.176920e+03 6.05836000e+00
1.177260e+03 8.13797000e+00
1.177610e+03 1.11268000e+01
1.178160e+03 1.77871000e+01
1.178700e+03 2.22123000e+01
1.179250e+03 1.77660000e+01
1.179790e+03 1.11065000e+01
1.180230e+03 7.47314000e+00
1.180670e+03 5.20359000e+00
1.181110e+03 3.76796000e+00
1.181550e+03 2.83168000e+00
1.182430e+03 1.74523000e+00
1.183310e+03 1.17456000e+00
1.184190e+03 8.41069000e-01
1.185080e+03 6.30741000e-01
1.186840e+03 3.91500000e-01
1.188600e+03 2.66078000e-01
1.190360e+03 1.92509000e-01
1.192120e+03 1.45739000e-01
1.193880e+03 1.14268000e-01
1.197410e+03 7.60871000e-02
1.200930e+03 5.56293000e-02
1.204450e+03 4.94550000e-02
1.205330e+03 5.44278000e-02
1.206210e+03 7.33766000e-02
1.206650e+03 1.01712000e-01
1.207090e+03 1.82648000e-01
1.207310e+03 2.93454000e-01
1.207420e+03 4.02120000e-01
1.207530e+03 5.96221000e-01
1.207640e+03 9.95330000e-01
1.207700e+03 1.37538000e+00
1.207750e+03 2.03298000e+00
1.207810e+03 3.31963000e+00
1.207840e+03 4.50749000e+00
1.207860e+03 6.37614000e+00
1.207890e+03 9.85018000e+00
1.207910e+03 1.27340000e+01
1.207920e+03 1.66713000e+01
1.207930e+03 2.32353000e+01
1.207950e+03 3.41965000e+01
1.207960e+03 5.37469000e+01
1.207970e+03 8.81415000e+01
1.207990e+03 1.42220000e+02
1.208000e+03 1.76556000e+02
1.208010e+03 1.42219000e+02
1.208030e+03 8.81419000e+01
1.208040e+03 5.76565000e+01
1.208050e+03 3.86392000e+01
1.208060e+03 2.72195000e+01
1.208070e+03 2.00348000e+01
1.208100e+03 1.20206000e+01
1.208120e+03 8.08381000e+00
1.208150e+03 5.71727000e+00
1.208170e+03 4.30183000e+00
1.208220e+03 2.66318000e+00
1.208260e+03 1.81189000e+00
1.208310e+03 1.31466000e+00
1.208400e+03 7.87391000e-01
1.208500e+03 5.26507000e-01
1.208590e+03 3.81372000e-01
1.208780e+03 2.32009000e-01
1.209160e+03 1.20692000e-01
1.209530e+03 8.02417000e-02
1.210290e+03 5.00458000e-02
1.211040e+03 3.85867000e-02
1.212550e+03 2.90240000e-02
1.214060e+03 2.45216000e-02
1.220090e+03 1.63757000e-02
1.226120e+03 1.23325000e-02
1.232150e+03 9.81243000e-03
1.238180e+03 8.23482000e-03
1.244210e+03 7.63515000e-03
1.247230e+03 8.12802000e-03
1.250240e+03 1.05907000e-02
1.251750e+03 1.44661000e-02
1.253260e+03 2.58553000e-02
1.254010e+03 4.18442000e-02
1.254760e+03 8.70572000e-02
1.255140e+03 1.49284000e-01
1.255330e+03 2.11073000e-01
1.255520e+03 3.22118000e-01
1.255710e+03 5.56245000e-01
1.255800e+03 7.82950000e-01
1.255900e+03 1.18428000e+00
1.255940e+03 1.51235000e+00
1.255990e+03 1.99855000e+00
1.256040e+03 2.76304000e+00
1.256080e+03 4.06541000e+00
1.256130e+03 6.55281000e+00
1.256150e+03 8.79880000e+00
1.256180e+03 1.22155000e+01
1.256200e+03 1.83550000e+01
1.256220e+03 2.95934000e+01
1.256240e+03 3.97544000e+01
1.256250e+03 5.55624000e+01
1.256260e+03 8.11588000e+01
1.256270e+03 1.22195000e+02
1.256290e+03 1.95985000e+02
1.256300e+03 2.44222000e+02
1.256310e+03 1.95984000e+02
1.256330e+03 1.22195000e+02
1.256340e+03 8.39265000e+01
1.256350e+03 6.08288000e+01
1.256360e+03 4.42405000e+01
1.256370e+03 3.41452000e+01
1.256390e+03 2.14291000e+01
1.256410e+03 1.48307000e+01
1.256430e+03 1.06784000e+01
1.256450e+03 8.03923000e+00
1.256490e+03 5.06499000e+00
1.256540e+03 3.44726000e+00
1.256580e+03 2.51326000e+00
1.256620e+03 1.90095000e+00
1.256660e+03 1.49609000e+00
1.256740e+03 9.91589000e-01
1.256830e+03 7.05483000e-01
1.256990e+03 4.09997000e-01
1.257160e+03 2.68405000e-01
1.257320e+03 1.89811000e-01
1.257660e+03 1.10153000e-01
1.258320e+03 5.19961000e-02
1.258980e+03 3.12598000e-02
1.260310e+03 1.62066000e-02
1.261640e+03 1.08169000e-02
1.264300e+03 6.79798000e-03
1.266950e+03 5.25468000e-03
1.272260e+03 3.92875000e-03
1.277570e+03 3.28084000e-03
1.288190e+03 2.54783000e-03
1.298820e+03 2.09733000e-03
1.320060e+03 1.54084000e-03
1.341300e+03 1.21050000e-03
1.383790e+03 8.69540000e-04
1.405040e+03 8.52197000e-04
1.415660e+03 1.09745000e-03
1.420970e+03 2.00338000e-03
1.423620e+03 5.19287000e-03
1.424950e+03 1.71073000e-02
1.425620e+03 6.24405000e-02
1.425780e+03 1.07602000e-01
1.425950e+03 2.30363000e-01
1.426030e+03 3.91605000e-01
1.426110e+03 8.08998000e-01
1.426160e+03 1.33267000e+00
1.426200e+03 2.53630000e+00
1.426220e+03 3.88820000e+00
1.426240e+03 6.44267000e+00
1.426250e+03 9.00675000e+00
1.426260e+03 1.27896000e+01
1.426270e+03 1.91079000e+01
1.426280e+03 3.01565000e+01
1.426290e+03 4.81180000e+01
1.426300e+03 6.04080000e+01
1.426310e+03 4.81182000e+01
1.426320e+03 3.01569000e+01
1.426330e+03 2.27541000e+01
1.426340e+03 1.68475000e+01
1.426350e+03 1.03039000e+01
1.426360e+03 6.82379000e+00
1.426370e+03 4.81151000e+00
1.426400e+03 2.73402000e+00
