Na-23(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.52590E+06 0.000205913
1.53700E+06 0.000205523
1.53760E+06 0.000205502
1.54030E+06 0.000205408
1.54380E+06 0.000205286
1.54550E+06 0.000205226
1.54990E+06 0.000205074
1.55070E+06 0.000205046
1.55690E+06 0.000204832
1.56020E+06 0.000204718
1.56250E+06 0.000204640
1.56950E+06 0.000204400
1.57510E+06 0.000204210
1.57930E+06 0.000204067
1.58240E+06 0.000203963
1.58790E+06 0.000203778
1.59230E+06 0.000203630
1.59580E+06 0.000203513
1.59910E+06 0.000203403
1.60110E+06 0.000203336
1.60170E+06 0.000203316
1.60320E+06 0.000203267
1.60430E+06 0.000203230
1.60550E+06 0.000203190
1.60610E+06 0.000203170
1.60780E+06 0.000203114
1.61050E+06 0.000203025
1.61310E+06 0.000202939
1.61570E+06 0.000202854
1.61630E+06 0.000202834
1.61950E+06 0.000202729
1.62600E+06 0.000202517
1.63090E+06 0.000202357
1.63210E+06 0.000202318
1.63390E+06 0.000202260
1.63620E+06 0.000202185
1.63880E+06 0.000202101
1.64150E+06 0.000202014
1.65050E+06 0.000201725
1.65080E+06 0.000201716
1.66280E+06 0.000201334
1.66510E+06 0.000201261
1.67480E+06 0.000200955
1.67750E+06 0.000200870
1.67980E+06 0.000200798
1.68100E+06 0.000200761
1.68390E+06 0.000200670
1.68540E+06 0.000200623
1.68890E+06 0.000200514
1.69380E+06 0.000200362
1.69650E+06 0.000200279
1.70110E+06 0.000200137
1.70560E+06 0.000199999
1.70640E+06 0.000199974
1.71140E+06 0.000199821
1.71640E+06 0.000199668
1.71960E+06 0.000199571
1.72070E+06 0.000199538
1.72340E+06 0.000199456
1.73570E+06 0.000199085
1.73900E+06 0.000198986
1.74150E+06 0.000198911
1.74650E+06 0.000198762
1.75640E+06 0.000198468
1.75820E+06 0.000198415
1.76030E+06 0.000198353
1.76250E+06 0.000198288
1.76790E+06 0.000198129
1.76980E+06 0.000198073
1.77240E+06 0.000197997
1.77370E+06 0.000197959
1.78070E+06 0.000197755
1.78340E+06 0.000197677
1.78520E+06 0.000197625
1.78700E+06 0.000197573
1.78920E+06 0.000197509
1.79130E+06 0.000197448
1.79610E+06 0.000197310
1.79830E+06 0.000197247
1.79950E+06 0.000197212
1.80070E+06 0.000197178
1.80190E+06 0.000197144
1.80280E+06 0.000197118
1.80340E+06 0.000197101
1.80400E+06 0.000197083
1.80570E+06 0.000197035
1.80860E+06 0.000196952
1.82600E+06 0.000196459
1.83590E+06 0.000196181
1.84030E+06 0.000196058
1.84830E+06 0.000195836
1.86290E+06 0.000195433
1.87930E+06 0.000194985
1.88440E+06 0.000194847
1.88960E+06 0.000194706
1.89560E+06 0.000194545
1.90140E+06 0.000194389
1.90350E+06 0.000194333
1.90690E+06 0.000194242
1.91060E+06 0.000194144
1.91170E+06 0.000194114
1.91410E+06 0.000194051
1.91840E+06 0.000193937
1.92260E+06 0.000193826
1.92810E+06 0.000193681
1.93140E+06 0.000193594
1.93240E+06 0.000193568
1.93330E+06 0.000193544
1.93360E+06 0.000193536
1.93480E+06 0.000193505
1.93600E+06 0.000193474
1.93750E+06 0.000193434
1.93930E+06 0.000193387
1.94880E+06 0.000193140
1.95300E+06 0.000193031
1.95690E+06 0.000192930
1.96150E+06 0.000192812
1.96660E+06 0.000192681
1.96940E+06 0.000192609
1.97330E+06 0.000192509
1.97380E+06 0.000192497
1.97820E+06 0.000192384
1.98820E+06 0.000192131
1.99000E+06 0.000192085
1.99000E+06 0.000192085
1.99640E+06 0.000191924
1.99790E+06 0.000191886
2.01170E+06 0.000191541
2.01500E+06 0.000191458
2.01820E+06 0.000191379
2.02000E+06 0.000191334
2.02500E+06 0.000191210
2.02690E+06 0.000191164
2.03010E+06 0.000191085
2.03320E+06 0.000191008
2.04140E+06 0.000190807
2.04460E+06 0.000190729
2.04730E+06 0.000190663
2.05190E+06 0.000190551
2.05550E+06 0.000190464
2.06830E+06 0.000190154
2.07970E+06 0.000189881
2.08320E+06 0.000189797
2.08420E+06 0.000189774
2.08970E+06 0.000189643
2.09650E+06 0.000189481
2.10600E+06 0.000189257
2.10920E+06 0.000189182
2.11380E+06 0.000189074
2.12240E+06 0.000188873
2.12560E+06 0.000188799
2.12870E+06 0.000188727
2.13200E+06 0.000188650
2.13650E+06 0.000188546
2.13850E+06 0.000188500
2.14290E+06 0.000188399
2.14790E+06 0.000188284
2.15040E+06 0.000188226
2.15290E+06 0.000188169
2.15660E+06 0.000188085
2.16000E+06 0.000188007
2.16110E+06 0.000187982
2.16790E+06 0.000187828
2.16920E+06 0.000187798
2.17500E+06 0.000187667
2.17790E+06 0.000187601
2.18400E+06 0.000187464
2.19020E+06 0.000187325
2.19610E+06 0.000187193
2.20070E+06 0.000187091
2.20250E+06 0.000187051
2.20390E+06 0.000187019
2.20930E+06 0.000186900
2.21000E+06 0.000186884
2.21430E+06 0.000186789
2.21660E+06 0.000186738
2.21930E+06 0.000186679
2.22000E+06 0.000186663
2.22120E+06 0.000186637
2.22530E+06 0.000186547
2.23250E+06 0.000186389
2.23380E+06 0.000186361
2.23850E+06 0.000186258
2.24000E+06 0.000186226
2.24210E+06 0.000186180
2.24530E+06 0.000186111
2.25120E+06 0.000185983
2.25580E+06 0.000185883
2.25980E+06 0.000185797
2.26080E+06 0.000185776
2.26530E+06 0.000185679
2.26850E+06 0.000185610
2.27080E+06 0.000185561
2.27440E+06 0.000185484
2.28000E+06 0.000185365
2.28580E+06 0.000185242
2.28900E+06 0.000185174
2.29000E+06 0.000185153
2.29530E+06 0.000185041
2.31040E+06 0.000184723
2.31350E+06 0.000184658
2.31900E+06 0.000184544
2.32000E+06 0.000184523
2.32450E+06 0.000184429
2.33000E+06 0.000184315
2.33540E+06 0.000184204
2.33670E+06 0.000184177
2.34220E+06 0.000184063
2.34630E+06 0.000183979
2.36000E+06 0.000183699
2.36220E+06 0.000183654
2.37570E+06 0.000183380
2.38000E+06 0.000183294
2.38680E+06 0.000183157
2.39880E+06 0.000182916
2.40580E+06 0.000182777
2.41000E+06 0.000182694
2.41130E+06 0.000182668
2.41530E+06 0.000182588
2.41870E+06 0.000182521
2.42270E+06 0.000182442
2.42620E+06 0.000182373
2.42670E+06 0.000182364
2.43620E+06 0.000182177
2.43870E+06 0.000182128
2.44320E+06 0.000182040
2.45410E+06 0.000181828
2.45560E+06 0.000181799
2.45960E+06 0.000181722
2.46210E+06 0.000181673
2.46660E+06 0.000181587
2.47660E+06 0.000181394
2.48950E+06 0.000181148
2.49150E+06 0.000181110
2.49800E+06 0.000180986
2.50000E+06 0.000180948
2.50350E+06 0.000180882
2.51000E+06 0.000180759
2.51540E+06 0.000180658
2.52000E+06 0.000180571
2.52090E+06 0.000180555
2.52490E+06 0.000180480
2.52690E+06 0.000180442
2.52940E+06 0.000180395
2.53000E+06 0.000180384
2.53340E+06 0.000180321
2.53840E+06 0.000180228
2.54230E+06 0.000180155
2.54830E+06 0.000180044
2.55040E+06 0.000180005
2.56000E+06 0.000179828
2.56030E+06 0.000179823
2.56330E+06 0.000179768
2.56580E+06 0.000179722
2.56830E+06 0.000179676
2.57020E+06 0.000179641
2.57320E+06 0.000179587
2.57970E+06 0.000179468
2.58500E+06 0.000179372
2.58520E+06 0.000179368
2.59420E+06 0.000179205
2.59970E+06 0.000179106
2.60110E+06 0.000179080
