33-As_n-tot
>  33-As-75:1.000000
5.429930e+02 9.40811000e+01
5.450190e+02 6.91827000e+01
5.470450e+02 5.38593000e+01
5.490700e+02 4.36978000e+01
5.510960e+02 3.65733000e+01
5.551470e+02 2.74078000e+01
5.591990e+02 2.18765000e+01
5.632500e+02 1.82316000e+01
5.673020e+02 1.56712000e+01
5.754050e+02 1.23354000e+01
5.835080e+02 1.02608000e+01
5.916110e+02 8.83390000e+00
5.997140e+02 7.77467000e+00
6.159190e+02 6.23735000e+00
6.321250e+02 5.04615000e+00
6.402280e+02 4.48033000e+00
6.442800e+02 4.19144000e+00
6.483310e+02 3.89957000e+00
6.523830e+02 3.63182000e+00
6.544080e+02 3.54543000e+00
6.564340e+02 3.57021000e+00
6.584600e+02 3.93635000e+00
6.594730e+02 4.47342000e+00
6.604860e+02 5.62718000e+00
6.614990e+02 8.33912000e+00
6.620050e+02 1.11005000e+01
6.625110e+02 1.60308000e+01
6.627650e+02 2.00183000e+01
6.630180e+02 2.57948000e+01
6.632710e+02 3.45237000e+01
6.635240e+02 4.84328000e+01
6.637770e+02 7.21682000e+01
6.640310e+02 1.16444000e+02
6.641570e+02 1.53607000e+02
6.642840e+02 2.08706000e+02
6.644100e+02 2.92394000e+02
6.645370e+02 4.19673000e+02
6.647190e+02 6.89859000e+02
6.649000e+02 8.87239000e+02
6.650820e+02 7.31737000e+02
6.652630e+02 4.72118000e+02
6.653940e+02 3.38606000e+02
6.655260e+02 2.49263000e+02
6.656570e+02 1.89558000e+02
6.657890e+02 1.48668000e+02
6.660510e+02 9.87861000e+01
6.663140e+02 7.10608000e+01
6.665770e+02 5.41585000e+01
6.668400e+02 4.31123000e+01
6.673650e+02 2.99858000e+01
6.678910e+02 2.27318000e+01
6.684160e+02 1.82660000e+01
6.694670e+02 1.32089000e+01
6.705180e+02 1.05016000e+01
6.715690e+02 8.84567000e+00
6.736710e+02 6.94053000e+00
6.757730e+02 5.86865000e+00
6.778750e+02 5.16455000e+00
6.820790e+02 4.24479000e+00
6.862830e+02 3.61039000e+00
6.904870e+02 3.09673000e+00
6.988960e+02 2.21850000e+00
7.073040e+02 1.48599000e+00
7.115080e+02 1.27176000e+00
7.136100e+02 1.26543000e+00
7.146610e+02 1.30571000e+00
7.157120e+02 1.38656000e+00
7.167630e+02 1.52041000e+00
7.178140e+02 1.72409000e+00
7.188650e+02 2.02078000e+00
7.199160e+02 2.44292000e+00
7.209670e+02 3.03685000e+00
7.220180e+02 3.87039000e+00
7.230690e+02 5.04560000e+00
7.241200e+02 6.72156000e+00
7.251710e+02 9.15724000e+00
7.262220e+02 1.27964000e+01
7.272730e+02 1.84577000e+01
7.283240e+02 2.77990000e+01
7.293750e+02 4.46556000e+01
7.299010e+02 5.86709000e+01
7.304260e+02 7.98145000e+01
7.309520e+02 1.13933000e+02
7.314770e+02 1.74160000e+02
7.317400e+02 2.22874000e+02
7.320030e+02 2.93330000e+02
7.322650e+02 3.98030000e+02
7.325280e+02 5.54353000e+02
